university,country,example_url
Ilia Chavchavadze State University,Georgia,https://iliauni.edu.ge/en/siaxleebi-8/gonisdziebebi-346/0/368
Ludwig-Maximilians-Universität München,Germany,https://www.tcs.ifi.lmu.de/teaching/courses-ws-2025-26/mobile-application-development
Technische Universität Carolo-Wilhelmina zu Braunschweig,Germany,https://graphics.tu-bs.de/upload/teaching/ss21/programmieren2/Programmieren2_Folien.pdf
Technische Universität Dortmund,Germany,https://aqua.cs.tu-dortmund.de/research/
Technische Universität München,Germany,https://www.cs.cit.tum.de/en/pl/lehre/wintersemester-2122/praktika/bachelors-practical-course-kotlin-in0012/
Theologische Fakultät Paderborn,Germany,https://www.uni-paderborn.de/en/person/78060
Universität Bremen,Germany,https://user.informatik.uni-bremen.de/clueth/lehre/ps.ws23/lectures/slides-all.pdf
Universität Trier,Germany,https://www.uni-trier.de/universitaet/fachbereiche-faecher/fachbereich-ii/faecher/computerlinguistik-und-digital-humanities/fachschaft-codipho/downloads
Kumasi Technical University,Ghana,https://catalogue.kstu.edu.gh/cgi-bin/koha/opac-detail.pl?biblionumber=2375&shelfbrowse_itemnumber=5269
Hong Kong Metropolitan University,Hong Kong,https://www.hkmu.edu.hk/SAO/Job%20Fair/2022/44_Green%20Tomato%20Limited_New.pdf
Hong Kong Shue Yan University,Hong Kong,https://www.hksyu.edu/flipbook/prospectus2021-22/files/basic-html/page54.html
University of Debrecen,Hungary,https://inf.unideb.hu/en/news/hello-kotlin
Atharva College of Engineering,India,https://atharvacoe.ac.in/wp-content/uploads/Report-of-Seminar-on-Flutter-Dart-07_01_2023.docx.pdf
Christ University,India,https://christuniversity.in/computer-science-and-engineering/faculty-details/MjQ5Mw==/NzI=
DAV Institute of Engineering & Technology,India,https://davietjal.org/wp-content/uploads/2024/03/DAVIET-Prospectus-2023.pdf
Dav University,India,https://davuniversity.org/images/files/2020/BCA_2020.pdf
Indus University,India,https://indusuni.ac.in/webinar-on-android-json-api-using-kotlin/
Narsee Monjee Institute of Management Studies,India,https://mathematics.nmims.edu/faculty-and-research/faculty/rajesh-kumar-maurya/
NorthCap University,India,https://stride.ncuindia.edu/course-isotope-1
PES University,India,https://news.pes.edu/10481/
Pandit Deendayal Energy University,India,https://api.pdeu.ac.in/pdpu/resources/btech-ce-syllabus-2025.pdf
Saurashtra University,India,https://qp.saurashtrauniversity.edu/PDF_DATAFILES/2022/BCA/MARCH/SEM-6/BCA%20SEM-6(2019)%20March-2022%20%20CS-31%20MOBILE%20APP.DEV.%20IN%20ANDROID%20USING%20KOTLIN.pdf
Somaiya Vidyavihar,India,https://svu-naac.somaiya.edu/C3/DVV/3.4.5/Confernce+and+Book+Chapter/56.pdf
Sri Sai Ram Institute of Technology,India,https://ai.sairamit.edu.in/certification-course/
St Joseph's College Of Engineering,India,https://stjosephs.ac.in/Department%20Brochure/IT%202024.pdf
Thiagarajar College of Engineering,India,https://tce.edu/sites/default/files/naac/criteria-1/1.4/feedback/Alumni/it-alumni.pdf
Institut Teknologi Bandung,Indonesia,https://digilib.itb.ac.id/gdl/view_data/deteksi-bad-smell-code-kotlin-pada-aplikasi-android-menggunakan-program-structure-interface/?rows=758&per_page=161
