source,category,signal_tier,learning_type,title,provider,country,language,subtype,popularity,kotlin_confidence,url
university_website,university_page,primary,formal,Fachkurs Modern Programming in Java & Kotlin - Hochschule Luzern,Hochschule Luzern,Switzerland,,,,0.8,https://www.hslu.ch/de-ch/informatik/weiterbildung/technologies-and-methods/fachkurs-modern-programming-java
university_website,university_page,primary,formal,Android Developer Career Academy | Colorado Skills Institute,Colorado Community College System,United States,,,,0.8,https://skillsinstitute.cccs.edu/courses/android-developer-career-academy/
university_website,university_page,primary,formal,Kotlin Multiplatform Libraries – Career Development Center ...,Appalachian State University,United States,,,,0.8,https://careerhub.appstate.edu/classes/kotlin-multiplatform-libraries/
university_website,university_page,primary,formal,Community scientific symposium entitled “Kotlin Conf Global ... - ASU,Arizona State University,United States,,,,0.8,https://www.asu.edu.eg/en/1024/news/community-scientific-symposium-entitled-kotlin-conf-global-extended-at-faculty-of-computers
university_website,university_page,primary,formal,All Approved Curriculum - A-State Research & Creativity Hub (ARCH),Arkansas State University,United States,,,,0.8,https://arch.astate.edu/asu-gcallucc/1360/
university_website,university_page,primary,formal,2021u_lac01_approved_nc_digi-2013-intro-to-coding-with-kotlin-for ...,Arkansas State University,United States,,,,0.8,https://arch.astate.edu/asu-gcallucc/1312/
university_website,university_page,primary,formal,"Program: Android Application Development, Certificate - Arkansas ...",Arkansas State University,United States,,,,0.8,https://catalog.astate.edu/preview_program.php?catoid=3&poid=574
university_website,university_page,primary,formal,Mines Daily Blast System,Colorado School of Mines,United States,,,,0.8,https://webapps.mines.edu/DailyBlast/Home/ShowDigestItem?ID=26526
university_website,university_page,primary,formal,Kotlin Multiplatform Libraries – Career Development Services ...,Florida Gulf Coast University,United States,,,,0.8,https://careerservices.fgcu.edu/classes/kotlin-multiplatform-libraries/
university_website,university_page,primary,formal,Information Technology Alumni Success - Fordham University,Fordham University,United States,,,,0.8,https://www.fordham.edu/gabelli-school-of-business/academic-programs-and-admissions/graduate-programs/academic-programs/ms-programs/information-technology/information-technology-alumni-success/
university_website,university_page,primary,formal,Web Mobile Application Development - Fort Hays State University,Fort Hays State University,United States,,,,0.8,https://www.fhsu.edu/programs/web-mobile-application-development/
